name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,myntra_url,platform
Roadster Men Pure Cotton Jeans,Roadster,Clothing,1209,2499,52,4,15000,,https://www.myntra.com/jeans/roadster/the-lifestyle-co-men-pure-cotton-baggy-fit-denim-jeans/28749636/buy,myntra
V-Mart Men Slim Fit Mid-Rise Jeans,V-Mart,Clothing,1301,1399,7,0,0,,https://www.myntra.com/jeans/v-mart/v-mart-men-slim-fit-mid-rise-light-fade-jeans/41512747/buy,myntra
Nautica Men Straight Fit Jeans,Nautica,Clothing,1253,1899,34,4.4,348,,https://www.myntra.com/jeans/nautica/nautica-men-straight-fit-light-fade-stretchable-jeans/31369862/buy,myntra
KASHIANXSTYLE Women Boyfriend Fit High-Rise Jeans,KASHIANXSTYLE,Clothing,437,1999,78,4.1,2000,,https://www.myntra.com/jeans/kashianxstyle/kashianxstyle-women-comfort-boyfriend-fit-high-rise-stretchable-jeans/39151970/buy,myntra
HIGHLANDER Men Relaxed Fit Jeans,HIGHLANDER,Clothing,798,2349,66,4,5000,,https://www.myntra.com/jeans/highlander/highlander-men-loose-fit-mid-rise-cotton-jeans/25395140/buy,myntra
Snitch Men Loose Wide Leg Jeans,Snitch,Clothing,1399,3398,59,4.3,202,,https://www.myntra.com/jeans/snitch/snitch-men-pure-cotton-loose-wide-leg-light-fade-stretchable-jeans/30233244/buy,myntra
Levis Women 725 Bootcut Jeans,Levis,Clothing,1913,3299,42,4.6,46,,https://www.myntra.com/jeans/levis/levis-women-725-bootcut-high-rise-light-fade-stretchable-jeans/38663093/buy,myntra
V-Mart Men Skinny Fit Mid-Rise Jeans,V-Mart,Clothing,1301,1399,7,0,0,,https://www.myntra.com/jeans/v-mart/v-mart-men-skinny-fit-mid-rise-light-fade-jeans/41512769/buy,myntra
W.T.F - Witnessing True Fashion Cotton Black Bootcut Jeans,W.T.F - Witnessing True Fashion,Clothing,999,3499,71,2.6,46,,https://www.myntra.com/jeans/w.t.f+-+witnessing+true+fashion/wtf---witnessing-true-fashion-men-comfort-bootcut-mid-rise-jeans/41029666/buy,myntra
Bene Kleed Men Heavy Fade Jeans,Bene Kleed,Clothing,839,2999,72,4.1,1800,,https://www.myntra.com/jeans/bene+kleed/bene-kleed-men-blue-relaxed-fit-mid-rise-jeans/32771015/buy,myntra
