name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,ajio_url,platform
Crazymonk ONE PIECE-Men Typographic Oversized Fit T-Shirt with Round Neck,Crazymonk,Clothing,528,528,56,5,25,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazymonk%20ONE%20P,https://www.ajio.com/crazymonk-one-piece-men-typographic-oversized-fit-t-shirt-with-round-neck/p/700538085_black?,ajio
XQsee Women Floral Print Oversized Round-Neck T-Shirt,XQsee,Clothing,260,260,88,4,300,https://dummyjson.com/image/400x400/282828/ffffff?text=XQsee%20Women%20Flo,https://www.ajio.com/xqsee-women-floral-print-oversized-round-neck-t-shirt/p/703045996_pink?,ajio
Buda Jeans Co Men Dyed Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,334,334,67,4,277,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-dyed-regular-fit-polo-t-shirt/p/702397530_maroon?,ajio
Buda Jeans Co Men Pack of 3 Loose Fit Round-Neck T-Shirts,Buda Jeans Co,Clothing,840,840,58,4,98,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-pack-of-3-loose-fit-round-neck-t-shirts/p/702005180_green?,ajio
Lee Cooper Men Striped Relaxed Fit Polo T-Shirt,Lee Cooper,Clothing,410,410,59,4,271,https://dummyjson.com/image/400x400/282828/ffffff?text=Lee%20Cooper%20Men%20,https://www.ajio.com/lee-cooper-men-striped-relaxed-fit-polo-t-shirt/p/443101980_pistagreen?,ajio
Fashocart Men Regular Fit Round-Neck T-Shirt,Fashocart,Clothing,389,389,35,4.5,62,https://dummyjson.com/image/400x400/282828/ffffff?text=Fashocart%20Men%20R,https://www.ajio.com/fashocart-men-regular-fit-round-neck-t-shirt/p/701433435_red?,ajio
Supa Dupa Men Typographic Loose Fit T-Shirt,Supa Dupa,Clothing,345,345,77,4,46,https://dummyjson.com/image/400x400/282828/ffffff?text=Supa%20Dupa%20Men%20T,https://www.ajio.com/supa-dupa-men-typographic-loose-fit-t-shirt/p/702350849_blue?,ajio
DNMX Men Graphic Print Relaxed Fit Crew-Neck T-Shirt,DNMX,Clothing,120,120,70,4,420,https://dummyjson.com/image/400x400/282828/ffffff?text=DNMX%20Men%20Graphi,https://www.ajio.com/dnmx-men-graphic-print-relaxed-fit-crew-neck-t-shirt/p/443095578_grey?,ajio
Buda Jeans Co Men Colourblocked Regular Fit T-Shirt,Buda Jeans Co,Clothing,270,270,73,4,32,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-colourblocked-regular-fit-t-shirt/p/702716097_brown?,ajio
PERFORMAX Regular Fit Fastdry Active Raglan T-Shirt,PERFORMAX,Clothing,180,180,70,4,306,https://dummyjson.com/image/400x400/282828/ffffff?text=PERFORMAX%20Regul,https://www.ajio.com/performax-regular-fit-fastdry-active-raglan-t-shirt/p/441135821_teal?,ajio
